transaction_id,sender_id,receiver_id,amount,timestamp
T1,A,B,100,2026-02-01 10:00:00
T2,B,C,150,2026-02-01 11:00:00
T3,C,A,200,2026-02-01 12:00:00
T4,S1,X,50,2026-02-02 10:00:00
T5,S2,X,60,2026-02-02 11:00:00
T6,S3,X,55,2026-02-02 12:00:00
T7,S4,X,65,2026-02-02 13:00:00
T8,S5,X,45,2026-02-02 14:00:00
T9,S6,X,75,2026-02-02 15:00:00
T10,S7,X,85,2026-02-02 16:00:00
T11,S8,X,95,2026-02-02 17:00:00
T12,S9,X,40,2026-02-02 18:00:00
T13,S10,X,30,2026-02-02 19:00:00
T14,Y,R1,80,2026-02-03 10:00:00
T15,Y,R2,90,2026-02-03 11:00:00
T16,Y,R3,85,2026-02-03 12:00:00
T17,Y,R4,95,2026-02-03 13:00:00
T18,Y,R5,75,2026-02-03 14:00:00
T19,Y,R6,65,2026-02-03 15:00:00
T20,Y,R7,55,2026-02-03 16:00:00
T21,Y,R8,45,2026-02-03 17:00:00
T22,Y,R9,35,2026-02-03 18:00:00
T23,Y,R10,25,2026-02-03 19:00:00
T24,M,N,120,2026-02-04 09:00:00
T25,N,O,110,2026-02-04 10:00:00
T26,O,P,130,2026-02-04 11:00:00
T27,Q,MERCHANT,500,2026-01-01 09:00:00
T28,R,MERCHANT,700,2026-01-05 10:00:00
T29,S,MERCHANT,650,2026-01-10 11:00:00
T30,T,MERCHANT,800,2026-01-15 12:00:00
T31,U,MERCHANT,750,2026-01-20 13:00:00
T32,V,MERCHANT,720,2026-01-25 14:00:00
T33,W,MERCHANT,810,2026-02-01 15:00:00
T34,Z,MERCHANT,790,2026-02-05 16:00:00
T35,MERCHANT,A1,300,2026-02-06 10:00:00
T36,MERCHANT,A2,320,2026-02-07 11:00:00
T37,MERCHANT,A3,310,2026-02-08 12:00:00
T38,A1,B1,200,2026-02-09 09:00:00
T39,B1,C1,210,2026-02-09 10:00:00
T40,C1,D1,220,2026-02-09 11:00:00
T41,D1,A1,230,2026-02-09 12:00:00
T42,F1,F2,100,2026-02-10 09:00:00
T43,F2,F3,100,2026-02-10 10:00:00
T44,F3,F4,100,2026-02-10 11:00:00
T45,F4,F5,100,2026-02-10 12:00:00
T46,F5,F1,100,2026-02-10 13:00:00
T47,G1,H1,50,2026-02-11 09:00:00
T48,H1,I1,60,2026-02-11 10:00:00
T49,I1,J1,70,2026-02-11 11:00:00
T50,J1,K1,80,2026-02-11 12:00:00
T51,K1,L1,90,2026-02-11 13:00:00
T52,L1,M1,100,2026-02-11 14:00:00
T53,M1,N1,110,2026-02-11 15:00:00
T54,PAY1,EMP1,5000,2026-01-01 09:00:00
T55,PAY1,EMP2,5200,2026-01-01 09:05:00
T56,PAY1,EMP3,5100,2026-01-01 09:10:00
T57,PAY1,EMP4,5300,2026-01-01 09:15:00
T58,PAY1,EMP5,5400,2026-01-01 09:20:00
T59,PAY1,EMP6,5500,2026-01-01 09:25:00
T60,PAY1,EMP7,5600,2026-01-01 09:30:00
T61,PAY1,EMP8,5700,2026-01-01 09:35:00
T62,PAY1,EMP9,5800,2026-01-01 09:40:00
T63,PAY1,EMP10,5900,2026-01-01 09:45:00
