transaction_id,sender_id,receiver_id,amount,timestamp
T1,CY1_A,CY1_B,128,2026-02-01 08:35:46
T2,CY1_B,CY1_C,98,2026-02-01 08:31:11
T3,CY1_C,CY1_A,198,2026-02-01 08:36:26
T4,CY1_A,CY1_B,219,2026-02-01 09:47:05
T5,CY1_B,CY1_C,344,2026-02-01 09:16:09
T6,CY1_C,CY1_A,347,2026-02-01 09:21:24
T7,CY1_A,CY1_B,223,2026-02-01 10:48:37
T8,CY1_B,CY1_C,268,2026-02-01 10:12:22
T9,CY1_C,CY1_A,418,2026-02-01 10:22:24
T10,CY2_A,CY2_B,192,2026-02-02 08:59:47
T11,CY2_B,CY2_C,355,2026-02-02 08:25:46
T12,CY2_C,CY2_D,461,2026-02-02 08:59:08
T13,CY2_D,CY2_A,323,2026-02-02 08:00:16
T14,CY2_A,CY2_B,270,2026-02-02 09:08:43
T15,CY2_B,CY2_C,295,2026-02-02 09:15:39
T16,CY2_C,CY2_D,270,2026-02-02 09:59:17
T17,CY2_D,CY2_A,442,2026-02-02 09:22:43
T18,CY2_A,CY2_B,264,2026-02-02 10:59:17
T19,CY2_B,CY2_C,296,2026-02-02 10:47:48
T20,CY2_C,CY2_D,400,2026-02-02 10:01:29
T21,CY2_D,CY2_A,306,2026-02-02 10:43:13
