transaction_id,sender_id,receiver_id,amount,timestamp
T1,CY1_A,CY1_B,128,2026-02-01 08:35:46
T2,CY1_B,CY1_C,98,2026-02-01 08:31:11
T3,CY1_C,CY1_A,198,2026-02-01 08:36:26
T4,CY1_A,CY1_B,219,2026-02-01 09:47:05
T5,CY1_B,CY1_C,344,2026-02-01 09:16:09
T6,CY1_C,CY1_A,347,2026-02-01 09:21:24
T7,CY1_A,CY1_B,223,2026-02-01 10:48:37
T8,CY1_B,CY1_C,268,2026-02-01 10:12:22
T9,CY1_C,CY1_A,418,2026-02-01 10:22:24
T10,CY2_A,CY2_B,192,2026-02-02 08:59:47
T11,CY2_B,CY2_C,355,2026-02-02 08:25:46
T12,CY2_C,CY2_D,461,2026-02-02 08:59:08
T13,CY2_D,CY2_A,323,2026-02-02 08:00:16
T14,CY2_A,CY2_B,270,2026-02-02 09:08:43
T15,CY2_B,CY2_C,295,2026-02-02 09:15:39
T16,CY2_C,CY2_D,270,2026-02-02 09:59:17
T17,CY2_D,CY2_A,442,2026-02-02 09:22:43
T18,CY2_A,CY2_B,264,2026-02-02 10:59:17
T19,CY2_B,CY2_C,296,2026-02-02 10:47:48
T20,CY2_C,CY2_D,400,2026-02-02 10:01:29
T21,CY2_D,CY2_A,306,2026-02-02 10:43:13
T22,CY2_A,CY2_B,305,2026-02-02 11:48:54
T23,CY2_B,CY2_C,193,2026-02-02 11:08:34
T24,CY2_C,CY2_D,265,2026-02-02 11:54:41
T25,CY2_D,CY2_A,276,2026-02-02 11:26:11
T26,CY3_A,CY3_B,254,2026-02-03 08:41:09
T27,CY3_B,CY3_C,245,2026-02-03 08:46:36
T28,CY3_C,CY3_D,80,2026-02-03 08:32:56
T29,CY3_D,CY3_E,313,2026-02-03 08:24:37
T30,CY3_E,CY3_A,456,2026-02-03 08:38:42
T31,CY3_A,CY3_B,201,2026-02-03 09:37:04
T32,CY3_B,CY3_C,241,2026-02-03 09:44:37
T33,CY3_C,CY3_D,244,2026-02-03 09:54:55
T34,CY3_D,CY3_E,97,2026-02-03 09:16:36
T35,CY3_E,CY3_A,320,2026-02-03 09:58:18
T36,CY3_A,CY3_B,338,2026-02-03 10:22:47
T37,CY3_B,CY3_C,418,2026-02-03 10:59:45
T38,CY3_C,CY3_D,470,2026-02-03 10:12:42
T39,CY3_D,CY3_E,463,2026-02-03 10:31:44
T40,CY3_E,CY3_A,262,2026-02-03 10:59:39
T41,CY4_A,CY4_B,450,2026-02-04 08:09:39
T42,CY4_B,CY4_C,89,2026-02-04 08:50:22
T43,CY4_C,CY4_A,311,2026-02-04 08:23:05
T44,CY4_A,CY4_B,346,2026-02-04 09:40:33
T45,CY4_B,CY4_C,240,2026-02-04 09:55:01
T46,CY4_C,CY4_A,368,2026-02-04 09:04:42
T47,CY4_A,CY4_B,250,2026-02-04 10:17:29
T48,CY4_B,CY4_C,450,2026-02-04 10:34:26
T49,CY4_C,CY4_A,220,2026-02-04 10:06:18
T50,CY4_A,CY4_B,178,2026-02-04 11:32:14
T51,CY4_B,CY4_C,290,2026-02-04 11:56:22
T52,CY4_C,CY4_A,149,2026-02-04 11:35:28
T53,CY5_A,CY5_B,413,2026-02-05 08:50:54
T54,CY5_B,CY5_C,364,2026-02-05 08:51:26
T55,CY5_C,CY5_D,397,2026-02-05 08:57:10
T56,CY5_D,CY5_A,138,2026-02-05 08:57:52
T57,CY5_A,CY5_B,152,2026-02-05 09:29:36
T58,CY5_B,CY5_C,201,2026-02-05 09:48:37
T59,CY5_C,CY5_D,380,2026-02-05 09:04:44
T60,CY5_D,CY5_A,401,2026-02-05 09:17:04
T61,CY5_A,CY5_B,206,2026-02-05 10:33:01
T62,CY5_B,CY5_C,250,2026-02-05 10:13:39
T63,CY5_C,CY5_D,219,2026-02-05 10:50:22
T64,CY5_D,CY5_A,268,2026-02-05 10:20:51
T65,CY5_A,CY5_B,356,2026-02-05 11:12:51
T66,CY5_B,CY5_C,432,2026-02-05 11:39:57
T67,CY5_C,CY5_D,289,2026-02-05 11:26:39
T68,CY5_D,CY5_A,157,2026-02-05 11:59:49
T69,CY6_A,CY6_B,311,2026-02-06 08:13:59
T70,CY6_B,CY6_C,455,2026-02-06 08:40:30
T71,CY6_C,CY6_D,453,2026-02-06 08:37:28
T72,CY6_D,CY6_E,337,2026-02-06 08:37:41
T73,CY6_E,CY6_A,488,2026-02-06 08:37:25
T74,CY6_A,CY6_B,362,2026-02-06 09:06:08
T75,CY6_B,CY6_C,120,2026-02-06 09:56:26
T76,CY6_C,CY6_D,428,2026-02-06 09:18:46
T77,CY6_D,CY6_E,361,2026-02-06 09:10:05
T78,CY6_E,CY6_A,292,2026-02-06 09:54:50
T79,CY6_A,CY6_B,482,2026-02-06 10:13:23
T80,CY6_B,CY6_C,103,2026-02-06 10:30:48
T81,CY6_C,CY6_D,365,2026-02-06 10:26:39
T82,CY6_D,CY6_E,220,2026-02-06 10:49:19
T83,CY6_E,CY6_A,262,2026-02-06 10:42:23
T84,CY7_A,CY7_B,320,2026-02-07 08:15:52
T85,CY7_B,CY7_C,388,2026-02-07 08:31:25
T86,CY7_C,CY7_A,363,2026-02-07 08:00:58
T87,CY7_A,CY7_B,249,2026-02-07 09:12:11
T88,CY7_B,CY7_C,448,2026-02-07 09:43:18
T89,CY7_C,CY7_A,215,2026-02-07 09:12:33
T90,CY7_A,CY7_B,298,2026-02-07 10:40:32
T91,CY7_B,CY7_C,190,2026-02-07 10:53:57
T92,CY7_C,CY7_A,99,2026-02-07 10:36:22
T93,CY7_A,CY7_B,221,2026-02-07 11:30:43
T94,CY7_B,CY7_C,186,2026-02-07 11:12:03
T95,CY7_C,CY7_A,325,2026-02-07 11:30:29
T96,CY8_A,CY8_B,354,2026-02-08 08:59:00
T97,CY8_B,CY8_C,153,2026-02-08 08:14:14
T98,CY8_C,CY8_D,415,2026-02-08 08:31:57
T99,CY8_D,CY8_A,279,2026-02-08 08:41:51
T100,CY8_A,CY8_B,484,2026-02-08 09:08:29
T101,CY8_B,CY8_C,474,2026-02-08 09:53:10
T102,CY8_C,CY8_D,132,2026-02-08 09:26:58
T103,CY8_D,CY8_A,324,2026-02-08 09:28:13
T104,CY8_A,CY8_B,431,2026-02-08 10:05:44
T105,CY8_B,CY8_C,123,2026-02-08 10:40:54
T106,CY8_C,CY8_D,397,2026-02-08 10:39:18
T107,CY8_D,CY8_A,84,2026-02-08 10:54:56
T108,CY8_A,CY8_B,283,2026-02-08 11:49:37
T109,CY8_B,CY8_C,470,2026-02-08 11:58:02
T110,CY8_C,CY8_D,96,2026-02-08 11:58:43
T111,CY8_D,CY8_A,116,2026-02-08 11:36:54
T112,CY8_A,CY8_B,139,2026-02-08 12:18:12
T113,CY8_B,CY8_C,87,2026-02-08 12:36:20
T114,CY8_C,CY8_D,380,2026-02-08 12:09:18
T115,CY8_D,CY8_A,316,2026-02-08 12:18:00
T116,FI1_S1,SMURF_HUB1,40,2026-02-10 01:20:56
T117,FI1_S1,SMURF_HUB1,70,2026-02-10 10:36:31
T118,FI1_S1,SMURF_HUB1,70,2026-02-10 05:15:58
T119,FI1_S1,SMURF_HUB1,42,2026-02-10 03:16:25
T120,FI1_S2,SMURF_HUB1,45,2026-02-10 03:25:33
T121,FI1_S2,SMURF_HUB1,46,2026-02-10 02:28:57
T122,FI1_S2,SMURF_HUB1,47,2026-02-10 21:32:18
T123,FI1_S2,SMURF_HUB1,45,2026-02-10 14:31:57
T124,FI1_S3,SMURF_HUB1,79,2026-02-10 11:26:41
T125,FI1_S3,SMURF_HUB1,41,2026-02-10 02:49:03
T126,FI1_S4,SMURF_HUB1,29,2026-02-10 20:45:46
T127,FI1_S4,SMURF_HUB1,29,2026-02-10 03:48:04
T128,FI1_S5,SMURF_HUB1,33,2026-02-10 17:42:49
T129,FI1_S5,SMURF_HUB1,32,2026-02-10 17:11:01
T130,FI1_S6,SMURF_HUB1,20,2026-02-10 22:34:38
T131,FI1_S6,SMURF_HUB1,56,2026-02-10 07:56:27
T132,FI1_S6,SMURF_HUB1,70,2026-02-10 03:46:00
T133,FI1_S6,SMURF_HUB1,62,2026-02-10 14:28:56
T134,FI1_S7,SMURF_HUB1,54,2026-02-10 15:33:15
T135,FI1_S7,SMURF_HUB1,45,2026-02-10 12:17:51
T136,FI1_S8,SMURF_HUB1,42,2026-02-10 02:51:06
T137,FI1_S8,SMURF_HUB1,35,2026-02-10 05:04:24
T138,FI1_S8,SMURF_HUB1,63,2026-02-10 22:49:04
T139,FI1_S8,SMURF_HUB1,27,2026-02-10 15:56:42
T140,FI1_S9,SMURF_HUB1,29,2026-02-10 11:59:44
T141,FI1_S9,SMURF_HUB1,80,2026-02-10 08:01:50
T142,FI1_S10,SMURF_HUB1,37,2026-02-10 03:02:34
T143,FI1_S10,SMURF_HUB1,72,2026-02-10 08:16:17
T144,FI1_S11,SMURF_HUB1,54,2026-02-10 04:55:55
T145,FI1_S11,SMURF_HUB1,87,2026-02-10 15:46:50
T146,FI1_S11,SMURF_HUB1,40,2026-02-10 14:20:48
T147,FI1_S12,SMURF_HUB1,20,2026-02-10 23:56:24
T148,FI1_S12,SMURF_HUB1,74,2026-02-10 05:15:37
T149,FI1_S12,SMURF_HUB1,31,2026-02-10 07:19:23
T150,FI1_S13,SMURF_HUB1,77,2026-02-10 06:44:47
T151,FI1_S13,SMURF_HUB1,34,2026-02-10 13:35:49
T152,FI2_S1,SMURF_HUB2,40,2026-02-11 01:42:29
T153,FI2_S1,SMURF_HUB2,27,2026-02-11 23:40:36
T154,FI2_S1,SMURF_HUB2,57,2026-02-11 21:09:04
T155,FI2_S1,SMURF_HUB2,42,2026-02-11 19:43:24
T156,FI2_S2,SMURF_HUB2,41,2026-02-11 04:19:25
T157,FI2_S2,SMURF_HUB2,30,2026-02-11 23:03:15
T158,FI2_S3,SMURF_HUB2,86,2026-02-11 20:32:40
T159,FI2_S3,SMURF_HUB2,53,2026-02-11 21:54:10
T160,FI2_S4,SMURF_HUB2,57,2026-02-11 21:14:43
T161,FI2_S4,SMURF_HUB2,56,2026-02-11 23:31:12
T162,FI2_S5,SMURF_HUB2,26,2026-02-11 05:29:23
T163,FI2_S5,SMURF_HUB2,35,2026-02-11 16:12:02
T164,FI2_S5,SMURF_HUB2,45,2026-02-11 13:09:11
T165,FI2_S6,SMURF_HUB2,64,2026-02-11 08:16:27
T166,FI2_S6,SMURF_HUB2,83,2026-02-11 20:25:21
T167,FI2_S6,SMURF_HUB2,41,2026-02-11 02:45:27
T168,FI2_S7,SMURF_HUB2,59,2026-02-11 15:33:40
T169,FI2_S7,SMURF_HUB2,35,2026-02-11 23:10:12
T170,FI2_S7,SMURF_HUB2,26,2026-02-11 02:07:35
T171,FI2_S8,SMURF_HUB2,28,2026-02-11 21:51:42
T172,FI2_S8,SMURF_HUB2,22,2026-02-11 03:04:28
T173,FI2_S8,SMURF_HUB2,59,2026-02-11 13:48:42
T174,FI2_S9,SMURF_HUB2,46,2026-02-11 11:31:41
T175,FI2_S9,SMURF_HUB2,51,2026-02-11 10:56:23
T176,FI2_S9,SMURF_HUB2,36,2026-02-11 09:41:24
T177,FI2_S9,SMURF_HUB2,40,2026-02-11 07:20:12
T178,FI2_S10,SMURF_HUB2,61,2026-02-11 20:03:35
T179,FI2_S10,SMURF_HUB2,20,2026-02-11 13:03:09
T180,FI2_S10,SMURF_HUB2,40,2026-02-11 11:37:45
T181,FI2_S11,SMURF_HUB2,49,2026-02-11 04:02:17
T182,FI2_S11,SMURF_HUB2,31,2026-02-11 13:46:46
T183,FI2_S12,SMURF_HUB2,79,2026-02-11 20:07:01
T184,FI2_S12,SMURF_HUB2,89,2026-02-11 01:50:17
T185,FI2_S13,SMURF_HUB2,67,2026-02-11 05:49:24
T186,FI2_S13,SMURF_HUB2,77,2026-02-11 10:17:07
T187,FI2_S13,SMURF_HUB2,72,2026-02-11 17:09:34
T188,FI2_S13,SMURF_HUB2,27,2026-02-11 15:58:29
T189,FI2_S14,SMURF_HUB2,89,2026-02-11 12:16:54
T190,FI2_S14,SMURF_HUB2,24,2026-02-11 00:31:04
T191,FI3_S1,SMURF_HUB3,84,2026-02-12 19:29:11
T192,FI3_S1,SMURF_HUB3,38,2026-02-12 18:02:46
T193,FI3_S2,SMURF_HUB3,78,2026-02-12 06:01:47
T194,FI3_S2,SMURF_HUB3,71,2026-02-12 17:56:06
T195,FI3_S2,SMURF_HUB3,47,2026-02-12 03:29:35
T196,FI3_S3,SMURF_HUB3,88,2026-02-12 18:51:28
T197,FI3_S3,SMURF_HUB3,62,2026-02-12 00:22:28
T198,FI3_S3,SMURF_HUB3,21,2026-02-12 17:58:40
T199,FI3_S4,SMURF_HUB3,38,2026-02-12 22:48:21
T200,FI3_S4,SMURF_HUB3,59,2026-02-12 16:49:16
T201,FI3_S4,SMURF_HUB3,57,2026-02-12 12:43:31
T202,FI3_S5,SMURF_HUB3,58,2026-02-12 23:16:55
T203,FI3_S5,SMURF_HUB3,88,2026-02-12 11:58:55
T204,FI3_S5,SMURF_HUB3,65,2026-02-12 05:58:26
T205,FI3_S6,SMURF_HUB3,30,2026-02-12 03:38:49
T206,FI3_S6,SMURF_HUB3,66,2026-02-12 11:41:00
T207,FI3_S7,SMURF_HUB3,77,2026-02-12 00:55:03
T208,FI3_S7,SMURF_HUB3,80,2026-02-12 21:37:30
T209,FI3_S8,SMURF_HUB3,76,2026-02-12 23:34:17
T210,FI3_S8,SMURF_HUB3,59,2026-02-12 10:43:26
T211,FI3_S9,SMURF_HUB3,65,2026-02-12 04:24:13
T212,FI3_S9,SMURF_HUB3,66,2026-02-12 01:51:56
T213,FI3_S9,SMURF_HUB3,67,2026-02-12 21:06:15
T214,FI3_S9,SMURF_HUB3,76,2026-02-12 08:34:02
T215,FI3_S10,SMURF_HUB3,42,2026-02-12 16:48:03
T216,FI3_S10,SMURF_HUB3,29,2026-02-12 21:14:35
T217,FI3_S10,SMURF_HUB3,59,2026-02-12 04:29:49
T218,FI3_S11,SMURF_HUB3,53,2026-02-12 00:20:32
T219,FI3_S11,SMURF_HUB3,38,2026-02-12 23:47:55
T220,FI3_S11,SMURF_HUB3,61,2026-02-12 23:45:17
T221,FI3_S11,SMURF_HUB3,67,2026-02-12 20:29:07
T222,FI3_S12,SMURF_HUB3,77,2026-02-12 05:38:07
T223,FI3_S12,SMURF_HUB3,73,2026-02-12 13:06:27
T224,FI3_S12,SMURF_HUB3,48,2026-02-12 13:16:01
T225,FI3_S13,SMURF_HUB3,61,2026-02-12 00:24:36
T226,FI3_S13,SMURF_HUB3,40,2026-02-12 09:52:05
T227,FI3_S14,SMURF_HUB3,62,2026-02-12 17:44:39
T228,FI3_S14,SMURF_HUB3,57,2026-02-12 13:21:48
T229,FI4_S1,SMURF_HUB4,59,2026-02-13 22:23:34
T230,FI4_S1,SMURF_HUB4,68,2026-02-13 09:22:09
T231,FI4_S1,SMURF_HUB4,28,2026-02-13 22:13:37
T232,FI4_S2,SMURF_HUB4,85,2026-02-13 18:25:24
T233,FI4_S2,SMURF_HUB4,55,2026-02-13 14:48:56
T234,FI4_S2,SMURF_HUB4,59,2026-02-13 02:17:40
T235,FI4_S2,SMURF_HUB4,87,2026-02-13 07:00:17
T236,FI4_S3,SMURF_HUB4,22,2026-02-13 10:18:26
T237,FI4_S3,SMURF_HUB4,58,2026-02-13 12:37:58
T238,FI4_S3,SMURF_HUB4,55,2026-02-13 10:13:28
T239,FI4_S4,SMURF_HUB4,76,2026-02-13 13:34:36
T240,FI4_S4,SMURF_HUB4,88,2026-02-13 23:01:28
T241,FI4_S4,SMURF_HUB4,75,2026-02-13 13:03:01
T242,FI4_S5,SMURF_HUB4,41,2026-02-13 14:16:29
T243,FI4_S5,SMURF_HUB4,87,2026-02-13 00:01:01
T244,FI4_S5,SMURF_HUB4,20,2026-02-13 01:10:33
T245,FI4_S5,SMURF_HUB4,50,2026-02-13 04:35:28
T246,FI4_S6,SMURF_HUB4,38,2026-02-13 19:15:05
T247,FI4_S6,SMURF_HUB4,56,2026-02-13 12:38:58
T248,FI4_S6,SMURF_HUB4,77,2026-02-13 00:28:50
T249,FI4_S7,SMURF_HUB4,37,2026-02-13 01:21:21
T250,FI4_S7,SMURF_HUB4,80,2026-02-13 05:28:56
T251,FI4_S8,SMURF_HUB4,83,2026-02-13 02:01:40
T252,FI4_S8,SMURF_HUB4,76,2026-02-13 07:08:42
T253,FI4_S8,SMURF_HUB4,88,2026-02-13 09:20:30
T254,FI4_S8,SMURF_HUB4,62,2026-02-13 12:56:12
T255,FI4_S9,SMURF_HUB4,46,2026-02-13 16:41:08
T256,FI4_S9,SMURF_HUB4,85,2026-02-13 09:28:14
T257,FI4_S9,SMURF_HUB4,72,2026-02-13 09:41:42
T258,FI4_S9,SMURF_HUB4,24,2026-02-13 22:56:30
T259,FI4_S10,SMURF_HUB4,73,2026-02-13 06:30:53
T260,FI4_S10,SMURF_HUB4,42,2026-02-13 12:31:35
T261,FI4_S10,SMURF_HUB4,83,2026-02-13 13:26:06
T262,FI4_S10,SMURF_HUB4,42,2026-02-13 18:38:44
T263,FI4_S11,SMURF_HUB4,87,2026-02-13 15:11:27
T264,FI4_S11,SMURF_HUB4,88,2026-02-13 12:39:19
T265,FI4_S12,SMURF_HUB4,40,2026-02-13 04:19:08
T266,FI4_S12,SMURF_HUB4,61,2026-02-13 07:35:28
T267,FI4_S12,SMURF_HUB4,77,2026-02-13 00:52:21
T268,FI4_S12,SMURF_HUB4,39,2026-02-13 06:51:15
T269,FI4_S13,SMURF_HUB4,51,2026-02-13 14:14:52
T270,FI4_S13,SMURF_HUB4,26,2026-02-13 08:43:32
T271,FI4_S14,SMURF_HUB4,35,2026-02-13 10:33:23
T272,FI4_S14,SMURF_HUB4,71,2026-02-13 03:46:43
T273,FI4_S15,SMURF_HUB4,62,2026-02-13 21:43:44
T274,FI4_S15,SMURF_HUB4,83,2026-02-13 17:34:46
T275,FI4_S15,SMURF_HUB4,68,2026-02-13 10:49:55
T276,FI5_S1,SMURF_HUB5,83,2026-02-14 07:37:20
T277,FI5_S1,SMURF_HUB5,64,2026-02-14 21:03:29
T278,FI5_S1,SMURF_HUB5,61,2026-02-14 15:03:18
T279,FI5_S1,SMURF_HUB5,77,2026-02-14 19:52:58
T280,FI5_S2,SMURF_HUB5,67,2026-02-14 07:08:31
T281,FI5_S2,SMURF_HUB5,73,2026-02-14 07:55:43
T282,FI5_S2,SMURF_HUB5,61,2026-02-14 14:21:53
T283,FI5_S3,SMURF_HUB5,87,2026-02-14 04:57:09
T284,FI5_S3,SMURF_HUB5,81,2026-02-14 19:46:18
T285,FI5_S4,SMURF_HUB5,58,2026-02-14 10:09:03
T286,FI5_S4,SMURF_HUB5,76,2026-02-14 22:13:38
T287,FI5_S4,SMURF_HUB5,25,2026-02-14 13:58:24
T288,FI5_S5,SMURF_HUB5,58,2026-02-14 14:56:12
T289,FI5_S5,SMURF_HUB5,27,2026-02-14 09:40:58
T290,FI5_S5,SMURF_HUB5,85,2026-02-14 01:51:07
T291,FI5_S6,SMURF_HUB5,87,2026-02-14 16:20:14
T292,FI5_S6,SMURF_HUB5,84,2026-02-14 14:49:00
T293,FI5_S6,SMURF_HUB5,32,2026-02-14 19:50:11
T294,FI5_S6,SMURF_HUB5,42,2026-02-14 16:56:55
T295,FI5_S7,SMURF_HUB5,70,2026-02-14 15:05:51
T296,FI5_S7,SMURF_HUB5,28,2026-02-14 13:19:13
T297,FI5_S8,SMURF_HUB5,70,2026-02-14 16:38:06
